server_id,server_name,ip_address,mac_address,location,country_code,timezone,os_version,cpu_usage,memory_usage,disk_usage,uptime,last_boot_time,cpu_model,ram_size,disk_size,network_speed,network_interface,server_status,server_type
1,Mr,244.204.203.201,82-81-51-E8-3E-AB,Pittsburgh,US,America/New_York,5.2.2,25.94,98.44,61.5,34,3/22/2022,Dr,62.68,856.18,737.73,Dr,active,database
2,Mrs,136.97.165.165,2A-CF-04-E5-7C-B3,Vysokovsk,RU,Europe/Moscow,6.93,79.43,83.64,71.46,75,10/1/2022,Dr,24.4,227.86,775.71,Dr,active,application
3,Mrs,3.228.9.59,64-31-E3-8B-72-C8,Astorga,BR,America/Sao_Paulo,5.8,17.58,34.59,32.95,52,1/13/2022,Ms,38.36,534.11,24.03,Ms,maintenance,application
4,Mr,203.80.234.28,5B-69-36-D7-9D-6C,Wesoła,PL,Europe/Warsaw,0.4.8,39.24,25.82,72.17,67,3/31/2022,Ms,46.09,548.05,478.72,Honorable,inactive,database
5,Dr,64.61.18.7,C6-45-0E-78-D6-7C,Sambuluan,PH,Asia/Manila,0.8.2,38.67,27,39.21,78,12/11/2022,Rev,37.07,444.56,105.22,Mr,inactive,database
6,Dr,74.137.176.76,63-0C-F8-B8-23-2D,Jamaica,US,America/New_York,0.88,31.29,25.35,99.74,88,2/16/2022,Mrs,1.55,715.84,690.62,Mr,maintenance,application
7,Mrs,79.140.46.216,CC-9D-92-7F-19-1C,Quimistán,HN,America/Tegucigalpa,7.8.4,37.07,66.79,3.75,44,9/21/2022,Mrs,58.61,952.41,957.29,Ms,maintenance,web
8,Honorable,146.176.150.14,2C-59-2F-3D-B1-51,Denver,US,America/Denver,0.8.0,86.94,1.71,91.68,19,1/28/2022,Ms,55.17,975.03,207.46,Rev,active,database
9,Dr,171.212.131.43,FF-C8-C1-74-CC-1E,Sobontoro,ID,Asia/Jakarta,8.5,68.83,97.6,97.41,67,4/29/2022,Mrs,45.47,791.37,844.82,Mrs,maintenance,application
10,Ms,89.13.215.220,8C-36-3D-74-84-28,Amarillo,US,America/Chicago,6.9,7.73,84,19.1,33,1/2/2022,Dr,34.06,609.25,409.18,Mr,maintenance,database
11,Dr,180.179.161.131,36-2F-F7-A9-7F-94,Krajan Satu,ID,Asia/Jakarta,0.76,0.16,69.81,89.72,35,2/10/2022,Mrs,12.81,128.91,901.35,Honorable,maintenance,database
12,Ms,220.127.164.211,55-3C-5C-18-87-D7,Anning,CN,Asia/Chongqing,4.38,91.96,85.43,51.68,68,9/24/2022,Mr,18.53,649.75,6.35,Dr,inactive,application
13,Rev,254.251.84.98,21-99-F0-FE-74-F7,Maszewo Duże,PL,Europe/Warsaw,0.65,64.15,22.43,89.13,22,3/24/2022,Ms,44.7,146.68,215.09,Mrs,maintenance,web
14,Rev,169.82.49.19,D6-9D-EF-EE-FE-A2,Granada,CO,America/Bogota,1.05,32.1,60.84,84.12,85,4/25/2022,Dr,57.26,290,746.72,Honorable,maintenance,web
15,Ms,113.173.40.31,99-34-BD-C9-D2-90,El Soberbio,AR,America/Argentina/Cordoba,2.81,17.38,18.02,21.75,96,7/1/2022,Rev,30.16,917.35,277.91,Mrs,maintenance,application
16,Mrs,154.171.94.217,71-21-13-CF-6D-35,Lens,FR,Europe/Paris,4.2.5,12.55,50,29.77,93,7/13/2022,Mr,56.44,899.22,675.84,Honorable,maintenance,web
17,Dr,71.201.3.136,9B-F2-D9-B9-55-6F,Lianfa,CN,Asia/Harbin,6.36,19.24,87.88,42.07,42,12/18/2022,Ms,24.72,837.27,380.86,Mrs,active,application
18,Ms,11.62.5.50,69-15-B0-43-A5-BD,Gramaços,PT,Europe/Lisbon,0.8.5,47.47,7.37,32.83,30,9/22/2022,Mr,56.34,251.55,465.32,Ms,inactive,database
19,Dr,22.198.222.22,A0-A0-7E-7A-C4-A7,Metahāra,ET,Africa/Addis_Ababa,8.5,58.29,28.01,64.71,48,5/27/2022,Ms,12.82,820.13,667.08,Dr,inactive,application
20,Mr,192.158.94.4,71-EE-11-74-2B-11,Khok Sung,TH,Asia/Bangkok,0.83,77.69,59.1,71.17,16,8/7/2022,Mr,12.73,720.48,246.35,Dr,inactive,web
21,Mrs,49.104.94.178,C6-A3-35-04-46-94,Spasskoye,RU,Europe/Moscow,5.6,61.93,49.07,19.6,58,10/14/2022,Mrs,10.18,976.15,11.91,Ms,inactive,application
22,Ms,212.166.22.219,4B-96-88-9B-E7-69,Carhuamayo,PE,America/Lima,5.7,20.01,11.09,17.86,86,3/5/2022,Ms,8.7,864.36,398.33,Dr,active,application
